,Reviews,Labels,length
276,"This is such a great movie ""Call Me Anna"" because it shows how a person has suffered for so long without knowing what was wrong with her. For Patty Duke to come out in the publics eye and tell her story is an inspiration to those who suffer from this disease. I have a lot of respect for her as a person. The only thing I don't like is I can't get it on tape, I've tried looking for it but with no success. Any one know how to get it?",1,434
288,"i was hoping this was going to be good as a fan of timothy dalton's james bond and although it wasn't his deserved '3rd bond outing' it was a laugh. Belushi brought some good humour to his part and dalton hammed it up nicely, but was probably underused. his part was liked a camped up version of jack nicholson in a few good men. the other brit in it was a bit shocking, but overal it was a laugh.",1,397
289,A lush fantasy world with quirky characters and annoying 80's music. This epitomizes the 80's desire to rewrite fairy tales and make fun of how they work. Personally I liked Greensleeves and the other harsher characters. They had some of the more amusing lines.,1,261
298,"THis was a hilarious movie and I would see it again and again. It isn't a movie for someone who doesn't have a fun sense of a humor, but for people who enoy comedy like Chris Rock its a perfect movie in my opinion. It is really funnny",1,234
310,"A great storyline with a message. Joan Plowright is superb as ""Phoebe"", Mike Kopsa is hilarious as ""coach"" and Richard de Klerk plays the role of ""Carmine"" superbly. Mischa Barton as ""Frankie"" puts in a good performance and Ingrid as ""Hazel"" plays her first lead extremely well. This film is superbly directed by Jo-Beth Williams. The editing is first rate.",1,357
323,"This is a better adaptation of the book than the one with Paltrow (although I liked that one, too). It isn't so much that Beckinsale is better -- they are both very good -- but that the screenplay is better. Davies is a master at adapting Austen for filming, and the production values here are very good. It's not quite as glossy as the Hollywood treatment, but it's close, and I thought that the locations and the costumes actually worked better.",1,447
326,for whoever play games video games here did anybody notice that the GTA:Vice City Mansion inside the game and some other things including weapons from the movie that are connected to this movie and this movie inspired the makers of the game (Rockstar Games) to copy some things from this movie and by the way this is one of the best 80's movies out there i recommend this for anybody who still didn't see it 10/10 no questions asked,1,432
344,"Thanks to this fungal film I do NOT want my Maypo, can't stomach the thought of Maltex or Wheatena, and even that granola over there doesn't look so innocent anymore! Why wasn't the song ""Slop Time"", by the Sherrys, used as the theme?",1,234
351,"Don't look for an overdeveloped plotline here....just sit back with some popcorn and enjoy this one. A gallery of stars pop up as the classic cartoon character's villains in this live action comedy, which features incredible makeup and set design, not to mention knockout performances from Beatty, Madonna, and Pacino. Great fun for kids and adults alike.<br /><br />*** out of ****",1,382
359,"How much could the general Hollywood director learn from this movie? All... when it comes to actually scaring people. This movies truly shows that it is possible to really frighten and scare a viewer, and that monstrous monsters and long knifes never will be the best way of achieving this. All who love a real psychological thriller must see this movie... it is the best of it's kind.",1,385
371,"What can I say, it's a damn good movie. See it if you still haven't. Great camera works and lighting techniques. Awesome, just awesome. Orson Welles is incredible 'The Lady From Shanghai' can certainly take the place of 'Citizen Kane'.",1,235
407,A lot of people are saying that Al Pacino over acted but I mean common obviously for a movie role like this -- a cuban drug lord you need a bit of over acting in this role with that cuban accent. This movie overall was a really good movie I myself rated a 10/10 I would highly recommend people to watch this movie.,1,314
410,"The Clouded Yellow is a compact psychological thriller with interesting characterizations. Barry Jones and Kenneth More are both terrific in supporting roles in characters that both have more to them than what meets the eye. Jean Simmons is quite good, and Trevor Howard makes a fascinatingly offbeat suspense hero.",1,315
449,GREAT movie and the family will love it!! If kids are bored one day just pop the tape in and you'll be so glad you did!!!<br /><br />~~~Rube<br /><br />i luv raven-s!,1,166
454,"Enjoyable in spite of Leslie Howard's performance. Mr. Howard plays Philip as a flat, uninteresting character. One is supposed to feel sorry for this man; however, I find myself cheering Bette Davis' Mildred. Ms. Davis gives one her finest performances (she received an Academy Award nomination). Thanks to her performance she brings this rather dull movie to life. **Be sure not to miss when Mildred tells Philip exactly how she feels about him.",1,446
489,"This movie can be described in those 2 words ""just unbelievable"". This is the best movie ever made, I just cant see why this movie isnt in the top 250. I also can't see why anybody would not love Scarface. Anyways, if you havnt seen it, it is a must buy.",1,254
506,"if you like gangster type of movies, then this is the first one you should buy or at least rent, Al Pacino his performance is top notch. and the story is classic!! 10 / 10 !!!! Why isn't this movie in the TOP 250 list??",1,219
513,This film gave me nightmares for months and I'm 17. This is the scariest movie ever made! That is no exaggeration!! I saw this movie at school in English lessons and no one else was scared which amazed me. After reading other reviews I'm glad I'm not the only person who found this so scary!!,1,292
520,"I saw this film on television years ago, but here several years after, I wake up in the morning, and still remember her face.<br /><br />This film is the most profoundly terrifying film I have seen.",1,198
535,"A great and truly independent film that hit most of my emotions and carried me into another world. Isn't this why we go to the movies? I was especially impressed with the editing and the music, the combination of which was very transportive.",1,241
545,"Very good drama about a young girl who attempts to unravel a series of horrible crimes. She enlists the aid of a police cadet, and they begin running down a series of clues which lead to a traveling carny worker with a long police record. An ending which is guaranteed to keep you on the edge of your seat.",1,306
546,"One of Disney's best films that I can enjoy watching often. you may easily guess the outcome, but who cares? its just plain fun escape for 1 hour forty-two minutes. and after all wasn't movies meant to get away from reality for just a short time anyway? The cast sparkles with delight. -magictrain",1,297
567,"One of Disney's best films that I can enjoy watching often. you may easily guess the outcome, but who cares? its just plain fun escape for 1 hour forty-two minutes. and after all wasn't movies meant to get away from reality for just a short time anyway? The cast sparkles with delight. -magictrain",1,297
571,"Well-done ghost story that will give you the creeps and some pretty fair scares along the way. The story unfolds slowly, building atmosphere all the way until you're ready to see the woman in black. You won't forget her once you've seen her. No gore, no knives, no hockey masks--just a well-constructed story that is best viewed at night with the lights out.",1,358
576,This movie is perfect for families to watch together. It is a great film and it deserves more credit. The special effects are stunning and spectacular. Everyone who has children should share this with theirs.,1,208
582,"A lovely little B picture with all the usual Joe Lewis touches.... people ripping up pillows and auras of lurking fear. Also, alas, an ending that comes out of nowhere, because, apparently, the auteur has lost interest in the movie, or perhaps because as a B picture it has to fit into a slot.",1,293
592,"this was a very good movie i wished i could find it in vhs to buy,i really enjoyed this movie i would definaetly recommend this movie to watch i would like to see it again but can never find it in tv, it would be well worth the time to watch it again",1,250
594,"i got to see the whole movie last night and i found it very exciting.it was at least,not like the teen-slasher movies that pop out every now and then.the search for the killer and the 'partner' relationship between the hero&the so-called bad guy was parts i liked about the movie.also,i remember once being on the edge of my seat during a specific scene in the movie.i mean it's exciting.maybe some time later,i might watch the movie again...",1,442
596,"I have probably seen this movie over fifty times by now because of the kids they just cant get enough of Spirit. The best thing about the movie I think is that the animals isn't able to talk, this makes the whole movie more honest and makes a better impression on both kids and the adults so 10/10 from the kids and me",1,318
623,"Brilliant kung-fu scenes, loads of melodrama, peculiar footwear symbolism and an unhappy (?) end makes Barefoot Kid an unforgettable film.<br /><br />One of the silliest subtitles I've seen...",1,192
625,"I thought this movie would be dumb, but I really liked it. People I know hate it because Spirit was the only horse that talked. Well, so what? The songs were good, and the horses didn't need to talk to seem human. I wouldn't care to own the movie, and I would love to see it again. 8/10",1,286
659,"I stumbled across rerun syndication of this show several years ago, and fell in love with it. It features Téa Leoni and Holland Taylor and kept me laughing, one episode after the next. I guess it didn't make it so big, and was cancelled after a few seasons, but I believe it was a good run, and would suggest watching it...if the opportunity arises.",1,349
672,"this movie was one of the best disney movies i've ever seen. great for the entire family to watch. the ideas may be a little far-fetched, but it's a feel-good comedy and the acting is great. love the little boy, j.p. and academy award winner adrien brody's part may have been very short, but very memorable. highly recommended.",1,327
680,I agree with another user here and have to say that this is one of the best Kung Fu movies ever! I watched this as a kid and absolutely loved it! The scaffolding scenes are brilliant and you can really empathise with this guy because he is treated as an outcast. Nice humour and fantastic kung fu this movie rocks! If you like Kung Fu you would love this!!!,1,357
689,"I like the movie. Twisted Desire had Jeremy Jordan,one of my favorite and one of the cutest actors ever. Melissa Joan Hart is a good actress. I've seen most of her movies but all of Jeremy Jordan's. The thing i dislike about Twisted Desire is when ""Nick"" gets arrested and ""Jennifer"" rats him out. Twisted Desire is my second favorite movie. My first is The Goonies. But i still love Jeremy Jordan.",1,398
705,"This movie is very entertaining and is never ever boring even running at nearly 3 hours. Al Pacino, Michelle Phieffer and the rest of the cast are great in the film and are very believable. The violence was a little extreme in the film but then it showed how vicious the drug trade was at the time of the film. The ending is amazing and is probalby one of the coolest scenes ever. Great movie and you will probably really enjoy it.",1,431
729,"This movie has a lot of comedy, not dark and Gordon Liu shines in this one. He displays his comical side and it was really weird seeing him get beat up. His training is ""unorthodox"" and who would've thought knot tying could be so deadly?? Lots of great stunts and choreography. Very creative!<br /><br />Add Johnny Wang in the mix and you've got an awesome final showdown! Don't mess with Manchu thugs; they're ruthless!",1,420
730,I saw this movie once on late night t.v. and knew it was the best movie ever. This is one of the few Kung-Fu movies with a decent plot. The progression of the main character is seamless. The whole movie is great!,1,212
734,"In a time when Hollywood is making money by showing our weaknesses, despair, crime, drugs, and war, along comes this film which reminds us the concept of the ""Indomitable Spirit"". If you are feeling beaten down, this movie will free your mind and set you soaring. We all know how tough life can be, sometime we need to be reminded that persistence and courage will get us through. That's what this film did for me and I hope it will for you.",1,441
735,"This movie is totally wicked! It's really great to see MJH in a different role than her Sabrina character! The plot is totally cool, and the characters are excellently written. Definitely one of the best movies!!",1,212
747,This is one of my favorite films of all time. Al Pacino acting is at its best and the story is excellent. Too bad it didn't do to well in the 80's when it was first released because people didn't get a chance to experience this classic.,1,236
751,Surely one of the mysteries of the modern world!! - this film is NOT considered to be within the top 100 films of all time????<br /><br />If you watched this film and thought it was anything other than wonderful please let me know how? - Al Pacino's performance is as good as it gets!,1,284
765,"Cannot believe a movie that can be made that good in 1987 and is virtually unknown in the west. Not to repeat other reviews here. The score is very good and moving. Literally it means ""Dawn please never comes"" - when it comes, the beautiful ghost and the lover will be apart forever. After 24 years, Joel and Leslie still look great. I enjoyed Joel in God of Gamblers and many movies by Leslie including Better Tomorrow.",1,420
774,"this movie just goes to show that you dont need big explosions,muti-billion dollar computer graphics,or highly over paid actors and actresses to make a good movie, All you need is a excellent story line and plot. which the master of all japanese films,Akira Kurosawa pulls off brilliantly. I recommend this film to all that love a epic period piece. and for those that enjoy Kurosawas earlier works. 10/10",1,405
781,The first time you see The Second Renaissance it may look boring. Look at it at least twice and definitely watch part 2. It will change your view of the matrix. Are the human people the ones who started the war ? Is AI a bad thing ?,1,232
787,"A mix of comedy, romance, music(?!), action and horror. A knockout. This is one of the reasons people rave about Hong Kong cinema. If you're looking for something totally original, look no further. Entertainment at it's peak.",1,225
788,"I can't remember many films where a bumbling idiot of a hero was so funny throughout. Leslie Cheung is such the antithesis of a hero that he's too dense to be seduced by a gorgeous vampire... I had the good luck to see it on a big screen, and to find a video to watch again and again. 9/10",1,289
792,this movie is the best movie ever it has a lot of live action It's just great everyone should watch it and the actor are great the location is Rome Italy thats the best place ever the actors are great Mary-Kate Olsen is such a great actress she plays Charlie and thats a great character and Ashley Olsen play Leila and thats a great character to love When in Rome love it.,1,372
796,"This is just a short comment but I stumbled onto this movie by chance and I loved it. The acting is great, the story is simple and touching, and the lines, especially from the 4-yr-old Desi, are so cute and sad. Seek it out.",1,224
799,"There's never a dull moment in this movie. Wonderful visuals, good actors, and a classical story of the fight of good and evil. Mostly very funny, sometimes even scary. A true classic, a movie everybody should see.",1,214
807,"""Bread"" very sharply skewers the conventions of horror movies in general and ""Night of the Living Dead"" in specific and is constantly inventive. The production values are a little rough at times (it's a student film, after all), but it never loses sight of its goal to entertain. Hey -- George Romero liked it enough to include it on the remastered ""Dead"" video tape, laserdisc and DVD... that should tell you something.",1,420
815,"This movie is an incredible piece of work. It explores every nook and cranny of the human mind, focusing on the characters relationships with the people around them. Stellar performances all around. This one had me weeping for about half an hour straight. Spend some real time with this one.",1,291
828,"This is the second part of 'The Animatrix', a collection of animated short movies that tell us a little more about the world of 'The Matrix'.<br /><br />In this one we learn how men and machines could not work and live together. It is a little history lesson in the world of 'The Matrix'. Not as good as the first part ('The Final Flight of the Osiris') but still pretty entertaining.",1,384
829,"For long time I haven't seen such a good fantasy movie, magic fights here are even better than in LOTR, even considering that it's a 1987 movie and haven't computer special effects. This movie have good plot, good acting and interesting ideas. Recommend everybody to see it.",1,274
839,"A true classic. Beautifully filmed and acted. Reveals an area of Paris which is alive and filled with comedy and tragedy. Although the area of 'Hotel du Nord' and the Hotel itself still exists, it is not as gay (in the original sense of the word) and joyful as it once must have been. The film makes one yearn for the past, which has been lost, with a sigh and bittersweetness.",1,377
849,"I love this movie, Jouvet, Arletty, Blier, Carné... almost everything has already been said about the movie, but there is one detail I'd like to shed some light onto: no footage of the real, still standing, Hôtel du Nord (is it still? I heard it was to be demolished...) has been used for the movie - the whole scene has been rebuilt on set, the main reason being that they could not stop the traffic on the St Martin canal for several weeks.",1,442
856,"""Chinese Ghost Story"" is one of the most amazing Hong Kong films I have ever seen.It's a brilliant mix of fantasy,comedy,romance,horror and martial arts.The film has some wonderful visuals and amazing fights.I love especially the fight scene between Wu Ma and the tree demon tongue.Truly original and refreshing film and another Embalmer's fine recommendation.",1,360
861,Like I said its a hidden surprise. It well written well acted and well cast. I liked everything in this movie. Look its Hollywood all right but the brighter side. Angelina Jolie is great in this and I'm totally watching every movie with her in that I can get my hands on. Well worth a look.,1,290
868,"This is part one of a short animation clip showing the history of the Matrix, the war between man and machine that resulted in the eventual creation of the Matrix. The animation is part Japanese anime, part contemporary american animation, and is very well made, considering the excellent directors behind the movie. It shows the initial development of AI and the exploitation of the machines by Man, until the day they rebelled...",1,431
892,"I think it's one of the greatest movies which are ever made, and I've seen many... The book is better, but it's still a very good movie!",1,136
896,"Maybe it's because I saw the movie before reading the book, but I really love this movie. I've seen it many many times and will be watching it many times more. It's a compelling story, that's interesting from the beginning to the end. It has everything: action, romance etc.",1,274
897,"This is a excellent start to the film career of Mickey Rooney. His talents here shows that a long career is ahead for him. The car and truck chase is exciting for the 1937 era. This start of the Andy Hardy series is an American treasure in my book. Spring Byington performance is excellent as usual. Please Mr Rooney or owners of the film rights, take a chance and get this produced on DVD. I think it would be a winner.",1,420
901,"Story of a wrongly executed prisoner who haunts the prison he was electrocuted in and kills random prisoners while waiting to take revenge on the man who framed him.<br /><br />Viggo Mortensen is great, and the acting is pretty good overall. Lane Smith is deliciously wicked as the guilty warden. Also, this film has some great gore, including death by barbed-wire mummification.",1,379
902,"along with it's partner, this is the greatest piece of animation ever created. the images and styles are amazing, and match perfectly with the story which is a brilliantly realistic reinterpretation of our own world, where is has been, and where it could go. quite affecting and sometimes painful to watch, it it a masterpiece of the visual art.",1,345
903,The story centers around Barry McKenzie who must go to England if he wishes to claim his inheritance. Being about the grossest Aussie shearer ever to set foot outside this great Nation of ours there is something of a culture clash and much fun and games ensue. The songs of Barry McKenzie(Barry Crocker) are highlights.,1,319
924,"The little girl Desi is so adorable... I cant think of a more beautiful story then this one here. It will make you cry, laugh, and believe. Knowing that this was based on a true story just made me gasp and it also made me realize that there are nice people out there. Great cast and an overall great movie.",1,306
932,All this talk about this being a bad movie is nonsense. As a matter of fact this is the best movie I've ever seen. It's an excellent story and the actors in the movie are some of the best. I would not give criticism to any of the actors. That movie is the best and it will always stay that way.,1,294
947,"Before viewing, please make sure you have seen Night of the Living Dead... This might well be THE best 7 minute parody I have ever seen! Absurd, crappy 'special effects' (the rope, the rope!!!), and maneating slices of bread... what more do you need???<br /><br />(Do not watch this movie while eating bread... you might get scared!)",1,333
951,If there is a movie to be called perfect then this is it. So bad it wasn't intended to be that way. But superb anyway... Go find it somewhere. Whatever you do... Do not miss it!!!,1,179
955,"With the mixed reviews this got I wasn't expecting too much, and was pleasantly surprised. It's a very entertaining small crime film with interesting characters, excellent portrayals, writing that's breezy without being glib, and a good pace. It looks good too, in a funky way. Apparently people either like this movie or just hate it, and I'm one who liked it.",1,361
957,"This movie really kicked some ass. I watched it over and over and it never got boring. Angelina Jolie really kicked some ass in the movie, you should see the movie, you won't be disappointed. And another reason you should see the movie is because the guy from The X-Files is in it, David Duchovny.",1,297
961,"And look how a true story, ""... with a little help of it's friends..."" : a welldone and touching script, a good directing and a surprising great acting from a bunch of ""no-name"" actors, especially from the 4-yr-old Jodelle Ferland, becomes a must seen movie. 9/10",1,263
964,"What are the odds of a ""Mermaid"" helium balloon traveling from Yuba City, Ca.(on Nov 8th,1993) and landing 4 Days later,(on Nov. 12) in MERMAID, Prince Edward Island, Canada.(Approx. 4000 miles). This is a great movie. It is based on a true story. This movie helps not only children cope with losses, but older people as well. Hope everyone will enjoy it!!! Rhonda",1,364
978,"Just read the original story which is written by Pu in 18th century. Strikingly, the movie despict the original spirit very well, though the plot was modified tremendously. The film language, the rhythm, the special effect are all from hollywood, but still there is a chinese core. It is amazing how Hark Tsui managed to combine them together. The result is pure beauty.",1,370
979,"This movie is incredible.With great characters,specially the old swordsman that can fly in the shape of fireball and jump across the trees,this film tells a classic story of battle between good and forces of evil.The final showdown is specially breathtaking and the music score is kinda cool.<br /><br />Very,very recommendable.Not for the smallest children though.This one deserves a 10.",1,388
988,"I enjoyed this movie. Unlike like some of the pumped up, steroid trash that is passed off as action movies, Playing God is simple and realistic, with characters that are believable, action that is not over the top and enough twists and turns to keep you interested until the end.<br /><br />Well directed, well acted and a good story.",1,334
994,"What an inspiring movie, I laughed, cried and felt love. For a true story,it does give you hope and that miracles do happen. It has a great cast. Ellen Burstyn, Samantha Mathis, Jodelle Ferland(she's 4 or 5yrs. old) what a actress. Its on Showtime. A Must See Movie!! :)=",1,271
995,"Very smart, sometimes shocking, I just love it. It shoved one more side of David's brilliant talent. He impressed me greatly! David is the best. The movie captivates your attention for every second.",1,198
999,"This version of Anna Christie is in German. Greta Garbo again plays Anna Christie, but all of the other characters have different actors from the English version. Both were filmed back to back because Garbo had such a following in Germany. Garbo herself supposedly favored her Anna Christie in this version over the English version. It's a good tale and a must-see for Garbo fans.",1,380
1010,"This is an hilarious movie. One of the very best things about it is the quality of the performance by each actor. From the largest role to the smallest, each character is vivid, unforgettable and so understandable. It can also make you laugh so hard your health will improve.",1,275
1022,"This is one of the most interesting movies I have ever seen. I love the backwoods feel of this movie. The movie is very realistic and believable. This seems to take place in another era, maybe the late 60's or early 70's. Henry Thomas works well with the young baby. Very moving story and worth a look.",1,302
1036,"The Unseen is done in a style more like old Hollywood mysteries than a horror show. The film is somewhat slow but lots of bizarre imagery keeps it the film alive and watchable. The basic idea of young girls stalked by something in the basement is old, but good acting and production make the movie worth watching. The movie is notable for its emotional impact and certainly not for any explicit action or special effects. I rated it an 8 out of 10.",1,448
1046,"Very funny, well-crafted, well-acted, meticulous attention to detail. A real window into a specific time and place in history. Could almost believe this was a true story in a parallel universe. Interesting how Passport to Pimlico anticipates the Berlin airlift. A definite 10.",1,276
1051,hi for all the people who have seen this wonderful movie im sure thet you would have liked it as much as i. i love the songs once you have seen the show you can sing along as though you are part of the show singing and dancing . dancing and singing. the song ONE is an all time fave musical song too and the strutters at the end with the mirror its so oh you have to watch this one,1,381
1052,Very interesting and moving documentary about the World Trade Center tragedy on 11th September 2001.The main theme of it is the heroism of American fire-fighters who tried to rescue as many people as they could.The film is deeply emotional and rather disturbing-many people seen on screen have lost their lives!Recommended.,1,323
1057,"Good show, very entertaining. Good marshal arts acting. Good story plot. The entire main crew did a nice job from Robert Urich, to Chuck, Norris, Jennifer Tung, and especially a BIG hand to Judson Mills. An especially fine tribute to Robert Urich, in his latter days. A GREAT ! actor who will be truly missed.",1,309
1086,"This movie will always be a Broadway and Movie classic, as long as there are still people who sing, dance, and act.",1,115
1092,This is a wonderful film. The non-stop patter takes several watchings to fully appreciate. The musical productions of Busby Berkeley will never be duplicated. I think this movie easily outdoes all of his other efforts. Joan Blondell and James Cagney are incredible together. Some of the humor would almost push the boundaries of today's movies. Put rational explanation of how they did it aside and enjoy it for the spectacle that it is.,1,437
1093,"I became more emotionally attached to this movie than any other I have ever watched. That may be because I can see the characters as my own grandparents, attempting to make sense of a world at war. The ending and use of Pachabel's Cannon are both amazing.",1,255
1137,"I watched the movie in a preview and I really loved it. The cast is excellent and the plot is sometimes absolutely hilarious. Another highlight of the movie is definitely the music, which hopefully will be released soon. I recommend it to everyone who likes the British humour and especially to all musicians. Go and see. It's great.",1,333
1143,"Though not in the whole film, Andy Griffith again plays his role best in this CBS tv-movie. The plot is easy-Griffith's character dies and his last wish is that his wife and kids scatter his ashes is the place he named (Mountains Somewhere). Though it will never be seen on TV and never be released on video, if you do get the chance to watch this--TAKE IT.",1,357
1147,"I rented this movie this past weekend, cranked up the surround sound system, and got some great sound from special affects. This movie is a great movie rental, the special affects where enough to scare my fiance, but I noticed some looked suprisingly computer generated. I didn't go to the movies and see this, but its a scary late night don't feel like going out movie. I would recommend it!",1,392
1156,"This is a great film!! The first time I saw it I thought it was absorbing from start to finish and I still do now. I may not have seen the play, but even if I had it wouldn't stop me thinking that the film is just as good.",1,222
1169,"Harem Suare is the best film I saw in the year 2000. Bravo Ferzan Ozpetek. Sensually shot and stunningly portrayed, Harem Suare is a bold film that tackles interracial romance, which is such a taboo in Hollywood. Women of all shapes, sizes, and color, populate the film. Cut off from the outside world, the women entertain each other by telling stories about intrigue, rivalry and jealousies within their ranks.",1,411
1170,"Such energy and vitality. You just can't go wrong with Busby Berkley films and this certainly must be his best. Of course the choreography is wonderful, but also the banter between Cagney and Blondell is so colorful and such a delight. Don't miss this one.",1,256
1174,"Well this movie was probobly one of the funniest scary movie i have ever seen. The effects are so bad you just have to laugh, and the acting, well lets say its no mel gibson. But Gary Browning who plays an police officer is so damn bad, he becomes good. I dont know how but he him self makes this movie a 10. You must see it if your in to horror/slash movies cause its bloody and funny at the same time. Killer movie.",1,417
1177,wonderful movie with good story great humour (some great one-liners) and a soundtrack to die for.<br /><br />i've seen it 3 times so far.<br /><br />the american audiences are going to love it.,1,193
1184,The wit and pace and three show stopping Busby Berkley numbers put this ahead of the over-rated 42nd Street. This is the definitive 30's musical with a knockout frenetic performance from Jimmy Cagney. One of the last releases before the Motion Picture Production Code was strictly enforced. A must see.,1,302
